drug_Smiles,drug_ATC,drug_Name
CON=C(C1=CC=CO1)C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O, S01AA27,Cefuroxime
CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)N)SC1)C(=O)O,J01DB01,Cefalexin
CC1=C(N2C(C(C2=O)NC(=O)C(C3=CCC=CC3)N)SC1)C(=O)O,J01DB09,Cephradine
C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,L01AA02,Chlorambucil
CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,N05BA02,Chlordiazepoxide
CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,M03BB02,Chlormezanone
COC1=CC=C(C=C1)C(=C(C2=CC=C(C=C2)OC)Cl)C3=CC=C(C=C3)OC,G03CA06,Chlorotrianisene
CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,N05AA01,Chlorpromazine
CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,A10BB02,Chlorpropamide
C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,C03BA04,Chlorthalidone
C1=CN(C(=O)N=C1N)CC(CO)OCP(=O)(O)O.O.O,J05AB12,Cidofovir
COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,A03FA02,Cisapride
N.N.Cl[Pt]Cl,L01XA01,Cisplatin
CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,J01FA09,Clarithromycin
CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl,D10AF01,Clindamycin
CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl, G01AA10,Clindamycin
CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl, J01FF01,Clindamycin
CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,C10AB01,Clofibrate
C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,N03AE01,Clonazepam
C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,C02AC01,Clonidine
C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl, N02CX02,Clonidine
C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl, S01EA04,Clonidine
C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,A01AB18,Clotrimazole
C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4, D01AC01,Clotrimazole
C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4, G01AF02,Clotrimazole
CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,N05AH02,Clozapine
