CanSmiles,ATC_L1,Drug_Name
CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC, R02AD03,Cocaine
CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC, S01HA01,Cocaine
CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC, S02DA02,Cocaine
CC(C(=O)O)O,G01AD01,Lactic acid
CC1C(C(C(C(O1)OC2CC(C3(C4C(CCC3(C2)O)C5(CCC(C5(CC4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O,C01AC01,G-Strophanthin
CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,A03BA01,Atropine
CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3, S01FA01,Atropine
C(C(C(C(C(=O)CO)O)O)O)O,V06DC02,Fructose
CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,G02CC02,Naproxen
CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O, M01AE02,Naproxen
CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O, M02AA12,Naproxen
CC1=C(C2=C(C1=CC3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,M01AB02,Sulindac
CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C.O,A11CC06,Calcifediol
CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C.O, H05BX05,Calcifediol
CC(C(C1=CC=CC=C1)O)NC,C01CA26,Ephedrine
CC(C(C1=CC=CC=C1)O)NC, R01AA03,Ephedrine
CC(C(C1=CC=CC=C1)O)NC, R01AB05,Ephedrine
CC(C(C1=CC=CC=C1)O)NC, R03CA02,Ephedrine
CC(C(C1=CC=CC=C1)O)NC, S01FB02,Ephedrine
