drug_Smiles,drug_ATC,drug_Name
CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,D01AC08,Ketoconazole
CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl, G01AF11,Ketoconazole
CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl, H02CA03,Ketoconazole
CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl, J02AB02,Ketoconazole
C1C(OC(S1)CO)N2C=CC(=NC2=O)N,J05AF05,Lamivudine
CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,C10AA02,Lovastatin
C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,P03AB02,Lindane
CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,R06AX13,Loratadine
CN1C2=C(C(=O)N(C1=O)C)NC=N2,R03DA04,Theophylline
C1=CC(=C(C=C1N)C(=O)O)O,A07EC02,Mesalamine
CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,A10BB03,Tolbutamide
CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C, V04CA01,Tolbutamide
CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O,A01AC01,Triamcinolone
CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O, C05AA12,Triamcinolone
CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O, D07AB09,Triamcinolone
CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O, D07XB02,Triamcinolone
CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O, H02AB08,Triamcinolone
CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O, R01AD11,Triamcinolone
